name,path,description,difficulty,prep_time,picture_path
Gougères au fromage,/recettes/recette_gougeres-au-fromage_20095.aspx,"
###Etape 1###Préchauffez le four à 200°C (th 6-7).##

###Etape 2###Dans une casserole, portez 25 cl d'eau à ébullition, avec le beurre coupé en morceaux + 1 cuillère à café de sel.##

###Etape 3###Hors du feu, ajoutez la farine d'un coup. ##

###Etape 4###Mélangez vivement, et faites dessécher pendant 1 min sur feu doux. ##

###Etape 5###Laissez tiédir quelques instants, et incorporez les oeufs un par un en mélangeant bien.##

###Etape 6###Ajoutez le gruyère râpé, la muscade, le sel et le poivre.##

###Etape 7###Déposez cette pâte à l'aide de 2 cuillères à café, en petits tas séparés, sur une plaque beurrée. ##

###Etape 8###Vous pouvez dorer les petites gougères avec un jaune d'oeuf, à l'aide d'un pinceau.##

###Etape 9###Enfournez 25 min en surveillant. ##

###Etape 10###C'est prêt##",facile,45 min,https://image.afcdn.com/recipe/20160513/2643_w420h344c1cx1908cy2861.jpg
Soufflé au fromage,/recettes/recette_souffle-au-fromage_69641.aspx,"
###Etape 1###Préchauffer le four à 180°C (thermostat 6). Beurrer le moule.##

###Etape 2###Chauffer le beurre dans une casserole, ajouter la farine et remuer rapidement pendant 1 min. Ajouter le lait tiédi, remuer au fouet pendant quelques minutes à feu doux.##

###Etape 3###Retirer la casserole du feu.##

###Etape 4###Séparer les blancs et les battre fermement (avec une pincée de sel).##

###Etape 5###Dans la casserole refroidie, ajouter les jaunes d'oeufs un à un, puis le fromage râpé. Mettre une pincée de muscade, poivrer. Saler peu car le fromage contient déjà du sel.##

###Etape 6###Incorporer les blancs d'oeufs battus en mélangeant délicatement. ##

###Etape 7###Verser dans le moule, au maximum jusqu'à 4 cm du bord.##

###Etape 8###Enfourner pendant 35 minutes en position chaleur tournante.##",facile,50 min,https://image.afcdn.com/recipe/20160425/61661_w420h344c1cx3000cy2000.jpg
Poulet léger au fromage de chèvre,/recettes/recette_poulet-leger-au-fromage-de-chevre_17726.aspx,"
###Etape 1###Coupez les 4 blancs de poulet dans le sens de la longueur. Saupoudrez-les de cannelle, de cumin et de poivre.##

###Etape 2###Déposez du papier aluminium sur la grille de votre four et disposez##

###Etape 3###les 4 morceaux de poulet.##

###Etape 4###Coupez le fromage de chèvre en grosses lamelles et couvrez-en les morceaux de poulet sur la grille. Posez alors par-dessus les quatres moitiés de poulets restants.##

###Etape 5###Coupez les poivrons en 2 et recouvrez chaque poulet fourré au chèvre avec 1 moitié.##

###Etape 6###Coupez la tête d'ail en 4 et disposez-la sur la grille entre les poulets. Ajoutez un léger filet d'huile d'olive sur le tout et une pincée de sel.##

###Etape 7###Mettez au four à thermostat 270°C (2550°C minimum) pendant 25 à 30 mn.##",très facile,40 min,https://image.afcdn.com/recipe/20100120/8285_w420h344c1cx256cy192.jpg
galette de fromage,/recettes/recette_galette-de-fromage_24566.aspx,"
###Etape 1###Coupez 4 tranches de chèvre que vous disposez au centre de la poêle. ##

###Etape 2###Disposez ensuite les triangles de Roquefort et d'edam autour du centre de chèvre de manière alternée. ##

###Etape 3###Jetez les dés de gouda de manière à parsemer la poêle. ##

###Etape 4###Recouvrez le tout avec le gruyère râpé. ##

###Etape 5###Salez et poivrez à volonté. ##

###Etape 6###Faites chauffer la poêle à feu trés doux afin de faire fondre le fromage sans le brûler, recouvrir la poêle et attendre 5 mn en surveillant. Une fois le fromage partiellement fondu, augmentez le feu de manière à faire dorer la galette de fromage. ##

###Etape 7###Lorsque le gruyère en contact avec les bords de la poêle est très roux, retirer la poêle et laisser refroidir à peu prés une minute. ##

###Etape 8###Prenez une assiette ou un plat et placez-le au dessus de la poêle aprés avoir partiellement décollé la galette. Retournez la poêle, la galette devrait se décoller. ##

###Etape 9###Bon ap'##",très facile,17 min,https://image.afcdn.com/recipe/20171022/73750_w420h344c1cx336cy186cxt0cyt0cxb672cyb372.jpg
Quesadillas au poulet fondant et fromage,/recettes/recette_quesadillas-au-poulet-fondant-et-fromage_350006.aspx,"
###Etape 1###Coupez le poulet en petits dés. ##

###Etape 2###Versez un filet d’huile dans une poêle chaude et faites-y revenir le poulet jusqu’à ce qu’il soit bien cuit. Ajoutez-y le mélange aux épices pour Quesadillas Old El Paso™ et 100 ml d’eau. Laissez mijoter quelques minutes.##

###Etape 3###Retirez le poulet de la poêle et mettez-le de côté. Nettoyez la poêle. Faites attention à ne pas vous brûler ! ##

###Etape 4###Remettez-la ensuite sur le feu. Versez un filet d’huile et lorsque c’est chaud, déposez une des tortillas de maïs dans la poêle. Parsemez de fromage râpé, répartissez le poulet et recouvrez de sauce Original Salsa Old El Paso™. Pliez la tortilla en deux et faites-la cuire des deux côtés jusqu’à ce qu’elle soit bien dorée et que le fromage soit bien fondu. Faites de même avec le reste des tortillas.##

###Etape 5###Coupez la Quesadilla en parts généreuses et servez-les sans attendre. Les Quesadillas sont idéales à partager. Elles peuvent se déguster seules ou accompagnées d’une salade pour une touche de fraîcheur.
Bon appétit!##",très facile,35 min,https://image.afcdn.com/recipe/20180412/78504_w420h344c1cx1596cy1368cxt0cyt0cxb3192cyb2736.jpg
Chocolat des neiges,/recettes/recette_chocolat-des-neiges_18452.aspx,"
###Etape 1###Le lait, le beurre, le sucre à mélanger et faire chauffer. ##

###Etape 2###Ajouter le chocolat, la noix de coco et les boudoirs. ##

###Etape 3###Tout mélanger et laisser refroidir 10 min au froid. ##

###Etape 4###Faire des petites boules et les rouler dans de la noix de coco. ##

###Etape 5###Faire prendre au froid. ##",très facile,10 min,https://image.afcdn.com/recipe/20180208/77451_w420h344c1cx2504cy1668cxt0cyt0cxb5008cyb3336.jpg
Charlotte au chocolat,/recettes/recette_charlotte-au-chocolat_25091.aspx,"
###Etape 1###Beurrer légèrement un moule à charlotte et disposer dans le fond un rond de papier sulfurisé. ##

###Etape 2###Verser 10 cl d'eau et le rhum dans le fond d'une assiette creuse. ##

###Etape 3###Tremper rapidement les biscuits et tapisser entièrement le fond et les bords du moule (côté bombé vers l'extérieur). ##

###Etape 4###Séparer les jaunes d'oeufs des blancs. ##

###Etape 5###Mettre à fondre le chocolat avec le lait dans un saladier à bain-marie doux. Le laisser fondre entièrement et le lisser avec une spatule en bois. En maintenant la préparation au bain-marie ajouter peu à peu le beurre en petits morceaux tout en remuant, puis les jaunes d'oeuf l'un après l'autre. Travailler la crème quelques instants jusqu'à ce qu'elle soit bien lisse et brillante puis retirer la casserole du feu et laisser refroidir. ##

###Etape 6###Monter les blancs d'oeuf en neige en ajoutant à la fin le sucre glace en pluie. ##

###Etape 7###Battre la crème liquide (très froide) en chantilly un peu molle. ##

###Etape 8###Incorporer les deux préparations à la crème afin d'obtenir un mélange lisse et parfaitement homogène. ##

###Etape 9###Remplir le moule avec la mousse au chocolat en la tassant légèrement, terminer par une couche de biscuits imbibés. Couvrir d'une assiette, un poids dessus et mettre au frigo jusqu'au lendemain. ##

###Etape 10###Pour servir retourner le moule sur le plat de service, retirer le fond de papier sulfurisé. Décorer de copeaux de chocolat ou la saupoudrer simplement d'un peu de cacao.##",facile,45 min,https://image.afcdn.com/recipe/20171221/76206_w420h344c1cx3000cy2000cxt0cyt0cxb6000cyb4000.jpg
Moelleux au chocolat,/recettes/recette_moelleux-au-chocolat_17982.aspx,"
###Etape 1###faire fondre le chocolat.##

###Etape 2###Ajouter le beurre en morceaux peu à peu et l'incorporer pour obtenir un crème bien lisse.##

###Etape 3###Mettre la farine et le sucre glace dans un saladier. Ajouter les oeufs entiers et mélanger jusqu'à obtention d'une émulsion homogène.##

###Etape 4###Verser le mélange chocolat-beurre sur cette préparation. Mélanger.##

###Etape 5###Beurrer et fariner 6 moules individuels ou un grand moule.##

###Etape 6###Verser la préparation et mettre à four chaud (200°C) - 10 min pour les petits gâteaux, 15 pour le grand.##

###Etape 7###Servir tiède avec une crème anglaise (le centre doit être coulant) ou servir froid nappé de ganache au chocolat.##",très facile,25 min,https://image.afcdn.com/recipe/20171019/73301_w420h344c1cx1800cy1200cxt0cyt0cxb3600cyb2400.jpg
Cookies tout chocolat,/recettes/recette_cookies-tout-chocolat_56794.aspx,"
###Etape 1###Incorporer le sucre roux au beurre travaillé en pommade (bien mou à température ambiante mais pas liquide). Il faut de la cassonade, c'est ça ou rien car c'est un des secrets des cookies !##

###Etape 2###Ajouter le sucre vanillé, et l'œuf, bien mélanger.##

###Etape 3###Incorporer la farine tamisée avec la levure, le sel et le cacao.##

###Etape 4###Rajouter les pépites de chocolats et amandes pilées (par exemple), plus il y a de garniture, plus le cookie prend son relief de cookie...##

###Etape 5###N’hésitez pas à travailler la pâte à la main, pour un mélange homogène, former un boudin et laisser une heure au frigo. (Ou 1/2 h au minimum mais c'est important ça aussi!)##

###Etape 6###Préchauffer le four à 180-200°C (thermostat 6).##

###Etape 7###Sortir ensuite la préparation du frigo, couper des tranches égales de taille moyenne, les répartir sur un papier sulfurisé suffisamment écarté pour que cela puisse gonfler.##

###Etape 8###Faire cuire 8 min à four déjà chaud (important), sortir les cookies même si cela à l’air mou, car ils durcissent à l’air libre.##",très facile,18 min,https://image.afcdn.com/recipe/20161219/48513_w420h344c1cx1920cy2880.jpg
Brownie chocolat framboise,/recettes/recette_brownie-chocolat-framboise_349897.aspx,"
###Etape 1###Préchauffer le four à 180°C (thermostat 6). 
Faire fondre le chocolat au bain-marie avec le beurre.##

###Etape 2###Battre les œufs avec le sucre jusqu’à ce que le mélange blanchisse. 
Ajouter la vanille, le chocolat fondu et la farine et bien mélanger. ##

###Etape 3###Ajouter les framboises et mélanger délicatement pour ne pas broyer les framboises. ##

###Etape 4###Verser la préparation dans un moule beurré ou recouvert de papier cuisson. ##

###Etape 5###Enfourner 30 minutes, le dessus du brownie doit être craquelé pour le côté croustillant et l’intérieur encore bien moelleux. ##

###Etape 6###Laisser refroidir avant de démouler et de servir.##",facile,"",https://image.afcdn.com/recipe/20180329/78256_w420h344c1cx2018cy1344.jpg
